SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612745,HOU,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,240,96,35,80,0.438,12,48,0.25,14,16,0.875,1,26,27,25,10,9,17,18,-38.0
22019,1610612745,HOU,Houston Rockets,0021901304,2020-08-12,HOU vs. IND,L,239,104,32,86,0.372,16,57,0.281,24,28,0.857,6,43,49,20,8,6,20,20,-4.0
22019,1610612745,HOU,Houston Rockets,0021901298,2020-08-11,HOU @ SAS,L,240,105,36,89,0.404,14,48,0.292,19,21,0.905,4,33,37,18,14,3,18,19,-18.0
22019,1610612745,HOU,Houston Rockets,0021901290,2020-08-09,HOU @ SAC,W,240,129,43,91,0.473,18,57,0.316,25,30,0.833,8,40,48,21,9,3,15,18,17.0
22019,1610612745,HOU,Houston Rockets,0021901273,2020-08-06,HOU vs. LAL,W,238,113,36,84,0.429,21,57,0.368,20,23,0.87,4,30,34,26,11,5,19,28,16.0
22019,1610612745,HOU,Houston Rockets,0021901261,2020-08-04,HOU @ POR,L,241,102,34,87,0.391,19,53,0.358,15,24,0.625,5,34,39,24,7,3,10,26,-8.0
22019,1610612745,HOU,Houston Rockets,0021901248,2020-08-02,HOU vs. MIL,W,239,120,36,91,0.396,21,61,0.344,27,31,0.871,6,30,36,22,15,3,9,24,4.0
22019,1610612745,HOU,Houston Rockets,0021901238,2020-07-31,HOU @ DAL,W,267,153,52,101,0.515,19,48,0.396,30,39,0.769,7,36,43,26,12,10,9,31,4.0
22019,1610612745,HOU,Houston Rockets,0021900963,2020-03-10,HOU vs. MIN,W,241,117,41,80,0.513,15,38,0.395,20,26,0.769,5,28,33,24,9,5,16,20,6.0
22019,1610612745,HOU,Houston Rockets,0021900953,2020-03-08,HOU vs. ORL,L,241,106,39,88,0.443,9,32,0.281,19,25,0.76,11,27,38,21,10,7,18,23,-20.0
22019,1610612745,HOU,Houston Rockets,0021900940,2020-03-07,HOU @ CHA,L,239,99,35,76,0.461,15,45,0.333,14,20,0.7,13,29,42,22,9,3,20,25,-9.0
22019,1610612745,HOU,Houston Rockets,0021900927,2020-03-05,HOU vs. LAC,L,240,105,35,97,0.361,7,42,0.167,28,36,0.778,15,36,51,19,6,5,10,25,-15.0
22019,1610612745,HOU,Houston Rockets,0021900903,2020-03-02,HOU @ NYK,L,240,123,39,94,0.415,20,56,0.357,25,27,0.926,8,26,34,25,11,5,12,20,-2.0
22019,1610612745,HOU,Houston Rockets,0021900892,2020-02-29,HOU @ BOS,W,265,111,41,98,0.418,15,55,0.273,14,18,0.778,12,41,53,17,10,8,16,20,1.0
22019,1610612745,HOU,Houston Rockets,0021900870,2020-02-26,HOU vs. MEM,W,240,140,52,93,0.559,23,50,0.46,13,15,0.867,9,35,44,22,8,7,18,25,28.0
22019,1610612745,HOU,Houston Rockets,0021900853,2020-02-24,HOU vs. NYK,W,239,123,43,86,0.5,16,48,0.333,21,31,0.677,5,33,38,20,11,7,13,22,11.0
22019,1610612745,HOU,Houston Rockets,0021900841,2020-02-22,HOU @ UTA,W,240,120,45,92,0.489,20,48,0.417,10,14,0.714,6,36,42,20,9,5,10,25,10.0
22019,1610612745,HOU,Houston Rockets,0021900825,2020-02-20,HOU @ GSW,W,239,135,45,85,0.529,25,49,0.51,20,22,0.909,8,28,36,31,14,7,15,15,30.0
22019,1610612745,HOU,Houston Rockets,0021900806,2020-02-11,HOU vs. BOS,W,241,116,33,77,0.429,13,45,0.289,37,42,0.881,5,40,45,17,9,6,14,21,11.0
22019,1610612745,HOU,Houston Rockets,0021900790,2020-02-09,HOU vs. UTA,L,240,113,44,95,0.463,15,42,0.357,10,14,0.714,7,29,36,20,10,5,6,19,-1.0
22019,1610612745,HOU,Houston Rockets,0021900774,2020-02-07,HOU @ PHX,L,241,91,29,85,0.341,11,48,0.229,22,26,0.846,8,21,29,16,8,5,15,21,-36.0
22019,1610612745,HOU,Houston Rockets,0021900768,2020-02-06,HOU @ LAL,W,239,121,43,85,0.506,19,42,0.452,16,18,0.889,6,31,37,20,8,4,16,22,10.0
22019,1610612745,HOU,Houston Rockets,0021900752,2020-02-04,HOU vs. CHA,W,240,125,43,97,0.443,20,60,0.333,19,23,0.826,7,34,41,25,11,5,4,19,15.0
22019,1610612745,HOU,Houston Rockets,0021900738,2020-02-02,HOU vs. NOP,W,241,117,41,105,0.39,16,51,0.314,19,22,0.864,11,32,43,22,14,3,7,18,8.0
22019,1610612745,HOU,Houston Rockets,0021900722,2020-01-31,HOU vs. DAL,W,239,128,45,98,0.459,21,45,0.467,17,20,0.85,7,30,37,25,11,5,6,20,7.0
22019,1610612745,HOU,Houston Rockets,0021900712,2020-01-29,HOU @ POR,L,240,112,40,94,0.426,17,47,0.362,15,18,0.833,9,30,39,21,8,5,15,23,-13.0
22019,1610612745,HOU,Houston Rockets,0021900698,2020-01-27,HOU @ UTA,W,240,126,38,81,0.469,15,40,0.375,35,49,0.714,6,34,40,14,11,4,15,25,9.0
22019,1610612745,HOU,Houston Rockets,0021900685,2020-01-26,HOU @ DEN,L,239,110,40,88,0.455,11,33,0.333,19,27,0.704,15,29,44,19,6,7,16,21,-7.0
22019,1610612745,HOU,Houston Rockets,0021900675,2020-01-24,HOU @ MIN,W,241,131,47,91,0.516,11,32,0.344,26,31,0.839,5,30,35,24,11,9,11,18,7.0
22019,1610612745,HOU,Houston Rockets,0021900662,2020-01-22,HOU vs. DEN,W,240,121,42,89,0.472,13,29,0.448,24,28,0.857,18,35,53,26,10,7,17,16,16.0
22019,1610612745,HOU,Houston Rockets,0021900645,2020-01-20,HOU vs. OKC,L,240,107,43,97,0.443,9,45,0.2,12,17,0.706,9,34,43,21,6,7,11,23,-5.0
22019,1610612745,HOU,Houston Rockets,0021900633,2020-01-18,HOU vs. LAL,L,241,115,40,90,0.444,12,37,0.324,23,29,0.793,11,35,46,20,8,4,20,26,-9.0
22019,1610612745,HOU,Houston Rockets,0021900611,2020-01-15,HOU vs. POR,L,240,107,38,96,0.396,16,49,0.327,15,23,0.652,12,38,50,24,4,4,12,22,-10.0
22019,1610612745,HOU,Houston Rockets,0021900600,2020-01-14,HOU @ MEM,L,239,110,37,86,0.43,14,45,0.311,22,24,0.917,9,32,41,18,4,2,15,23,-11.0
22019,1610612745,HOU,Houston Rockets,0021900577,2020-01-11,HOU vs. MIN,W,241,139,49,95,0.516,18,45,0.4,23,29,0.793,12,46,58,29,9,6,18,24,30.0
22019,1610612745,HOU,Houston Rockets,0021900566,2020-01-09,HOU @ OKC,L,241,92,34,89,0.382,11,40,0.275,13,14,0.929,8,31,39,16,4,3,14,21,-21.0
22019,1610612745,HOU,Houston Rockets,0021900558,2020-01-08,HOU @ ATL,W,240,122,39,92,0.424,13,45,0.289,31,41,0.756,16,43,59,22,7,7,13,21,7.0
22019,1610612745,HOU,Houston Rockets,0021900520,2020-01-03,HOU vs. PHI,W,240,118,41,86,0.477,12,32,0.375,24,32,0.75,8,38,46,22,6,3,11,24,10.0
22019,1610612745,HOU,Houston Rockets,0021900501,2019-12-31,HOU vs. DEN,W,241,130,46,87,0.529,16,34,0.471,22,31,0.71,13,30,43,20,6,7,15,17,26.0
22019,1610612745,HOU,Houston Rockets,0021900488,2019-12-29,HOU @ NOP,L,239,112,42,81,0.519,15,39,0.385,13,20,0.65,8,33,41,29,5,3,17,16,-15.0
22019,1610612745,HOU,Houston Rockets,0021900478,2019-12-28,HOU vs. BKN,W,240,108,44,101,0.436,13,42,0.31,7,16,0.438,16,38,54,16,7,6,14,15,10.0
22019,1610612745,HOU,Houston Rockets,0021900457,2019-12-25,HOU @ GSW,L,240,104,37,100,0.37,16,51,0.314,14,16,0.875,14,35,49,19,8,3,12,25,-12.0
22019,1610612745,HOU,Houston Rockets,0021900453,2019-12-23,HOU @ SAC,W,241,113,39,87,0.448,15,39,0.385,20,23,0.87,6,33,39,18,10,3,11,22,9.0
22019,1610612745,HOU,Houston Rockets,0021900437,2019-12-21,HOU @ PHX,W,240,139,51,87,0.586,19,41,0.463,18,23,0.783,5,32,37,23,4,5,10,23,14.0
22019,1610612745,HOU,Houston Rockets,0021900419,2019-12-19,HOU @ LAC,W,241,122,43,86,0.5,14,37,0.378,22,29,0.759,10,33,43,23,9,4,18,20,5.0
22019,1610612745,HOU,Houston Rockets,0021900396,2019-12-16,HOU vs. SAS,W,238,109,40,98,0.408,11,43,0.256,18,27,0.667,14,44,58,20,9,6,12,19,2.0
22019,1610612745,HOU,Houston Rockets,0021900386,2019-12-14,HOU vs. DET,L,239,107,41,102,0.402,13,45,0.289,12,18,0.667,11,35,46,18,9,8,11,19,-8.0
22019,1610612745,HOU,Houston Rockets,0021900371,2019-12-13,HOU @ ORL,W,241,130,48,86,0.558,22,39,0.564,12,13,0.923,7,35,42,21,5,7,9,20,23.0
22019,1610612745,HOU,Houston Rockets,0021900356,2019-12-11,HOU @ CLE,W,241,116,43,87,0.494,17,42,0.405,13,13,1.0,11,25,36,18,10,6,13,14,6.0
22019,1610612745,HOU,Houston Rockets,0021900346,2019-12-09,HOU vs. SAC,L,241,118,41,84,0.488,17,50,0.34,19,23,0.826,11,40,51,25,4,6,19,20,-1.0
22019,1610612745,HOU,Houston Rockets,0021900333,2019-12-07,HOU vs. PHX,W,239,115,41,91,0.451,11,40,0.275,22,30,0.733,10,41,51,21,10,7,15,28,6.0
22019,1610612745,HOU,Houston Rockets,0021900318,2019-12-05,HOU @ TOR,W,240,119,40,98,0.408,22,55,0.4,17,19,0.895,20,34,54,29,11,2,22,24,10.0
22019,1610612745,HOU,Houston Rockets,0021900303,2019-12-03,HOU @ SAS,L,290,133,42,111,0.378,15,51,0.294,34,36,0.944,18,42,60,22,11,7,17,30,-2.0
22019,1610612745,HOU,Houston Rockets,0021900282,2019-11-30,HOU vs. ATL,W,241,158,52,89,0.584,25,51,0.49,29,34,0.853,13,39,52,30,9,2,15,23,47.0
22019,1610612745,HOU,Houston Rockets,0021900259,2019-11-27,HOU vs. MIA,W,239,117,38,83,0.458,15,44,0.341,26,33,0.788,9,34,43,19,11,2,15,22,9.0
22019,1610612745,HOU,Houston Rockets,0021900235,2019-11-24,HOU vs. DAL,L,240,123,45,98,0.459,10,44,0.227,23,31,0.742,15,39,54,26,5,2,11,26,-14.0
22019,1610612745,HOU,Houston Rockets,0021900224,2019-11-22,HOU @ LAC,L,240,119,39,84,0.464,15,43,0.349,26,38,0.684,11,32,43,22,11,2,15,27,-3.0
22019,1610612745,HOU,Houston Rockets,0021900211,2019-11-20,HOU @ DEN,L,240,95,32,76,0.421,12,38,0.316,19,25,0.76,9,34,43,19,9,2,20,22,-10.0
22019,1610612745,HOU,Houston Rockets,0021900193,2019-11-18,HOU vs. POR,W,238,132,47,100,0.47,17,45,0.378,21,26,0.808,17,41,58,24,9,10,16,21,24.0
22019,1610612745,HOU,Houston Rockets,0021900179,2019-11-16,HOU @ MIN,W,240,125,43,94,0.457,19,49,0.388,20,22,0.909,14,28,42,15,7,3,12,18,20.0
22019,1610612745,HOU,Houston Rockets,0021900169,2019-11-15,HOU vs. IND,W,240,111,36,89,0.404,14,46,0.304,25,29,0.862,10,34,44,12,11,3,8,23,9.0
22019,1610612745,HOU,Houston Rockets,0021900157,2019-11-13,HOU vs. LAC,W,241,102,33,86,0.384,14,42,0.333,22,27,0.815,9,44,53,12,7,6,10,17,9.0
22019,1610612745,HOU,Houston Rockets,0021900142,2019-11-11,HOU @ NOP,W,240,122,44,85,0.518,12,41,0.293,22,32,0.688,7,40,47,16,9,6,17,22,6.0
22019,1610612745,HOU,Houston Rockets,0021900129,2019-11-09,HOU @ CHI,W,239,117,39,83,0.47,19,44,0.432,20,28,0.714,9,46,55,18,12,7,22,21,23.0
22019,1610612745,HOU,Houston Rockets,0021900107,2019-11-06,HOU vs. GSW,W,240,129,48,97,0.495,21,45,0.467,12,19,0.632,11,39,50,31,7,9,12,20,17.0
22019,1610612745,HOU,Houston Rockets,0021900093,2019-11-04,HOU @ MEM,W,239,107,35,93,0.376,17,50,0.34,20,29,0.69,14,37,51,20,6,5,18,21,7.0
22019,1610612745,HOU,Houston Rockets,0021900086,2019-11-03,HOU @ MIA,L,239,100,31,79,0.392,14,48,0.292,24,31,0.774,4,34,38,19,6,5,22,24,-29.0
22019,1610612745,HOU,Houston Rockets,0021900069,2019-11-01,HOU @ BKN,L,241,116,41,99,0.414,12,48,0.25,22,27,0.815,9,31,40,21,13,4,12,21,-7.0
22019,1610612745,HOU,Houston Rockets,0021900061,2019-10-30,HOU @ WAS,W,241,159,55,103,0.534,23,54,0.426,26,33,0.788,19,25,44,34,10,5,13,24,1.0
22019,1610612745,HOU,Houston Rockets,0021900045,2019-10-28,HOU vs. OKC,W,240,116,39,90,0.433,10,44,0.227,28,33,0.848,9,31,40,21,6,6,14,24,4.0
22019,1610612745,HOU,Houston Rockets,0021900032,2019-10-26,HOU vs. NOP,W,240,126,43,94,0.457,13,45,0.289,27,30,0.9,9,36,45,27,7,4,19,22,3.0
22019,1610612745,HOU,Houston Rockets,0021900015,2019-10-24,HOU vs. MIL,L,240,111,33,90,0.367,16,48,0.333,29,39,0.744,10,47,57,25,6,6,14,25,-6.0
22019,1610612759,SAS,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,239,112,39,79,0.494,10,20,0.5,24,36,0.667,9,35,44,24,4,8,15,20,-6.0
22019,1610612759,SAS,San Antonio Spurs,0021901298,2020-08-11,SAS vs. HOU,W,240,123,46,93,0.495,13,32,0.406,18,20,0.9,9,50,59,28,10,5,22,20,18.0
22019,1610612759,SAS,San Antonio Spurs,0021901287,2020-08-09,SAS @ NOP,W,241,122,40,89,0.449,11,28,0.393,31,32,0.969,15,36,51,22,12,6,17,27,9.0
22019,1610612759,SAS,San Antonio Spurs,0021901274,2020-08-07,SAS vs. UTA,W,240,119,45,89,0.506,9,22,0.409,20,26,0.769,8,39,47,27,10,5,13,18,8.0
22019,1610612759,SAS,San Antonio Spurs,0021901264,2020-08-05,SAS vs. DEN,L,239,126,46,93,0.495,11,30,0.367,23,27,0.852,10,25,35,29,10,5,7,20,-6.0
22019,1610612759,SAS,San Antonio Spurs,0021901254,2020-08-03,SAS @ PHI,L,240,130,46,93,0.495,12,26,0.462,26,29,0.897,13,31,44,21,7,6,14,23,-2.0
22019,1610612759,SAS,San Antonio Spurs,0021901246,2020-08-02,SAS @ MEM,W,241,108,36,86,0.419,12,29,0.414,24,33,0.727,12,37,49,22,5,6,16,20,2.0
22019,1610612759,SAS,San Antonio Spurs,0021901237,2020-07-31,SAS vs. SAC,W,240,129,48,90,0.533,11,25,0.44,22,27,0.815,9,33,42,32,6,4,15,17,9.0
22019,1610612759,SAS,San Antonio Spurs,0021900965,2020-03-10,SAS vs. DAL,W,239,119,46,89,0.517,15,32,0.469,12,15,0.8,6,34,40,32,11,10,11,15,10.0
22019,1610612759,SAS,San Antonio Spurs,0021900954,2020-03-08,SAS @ CLE,L,265,129,43,98,0.439,10,26,0.385,33,36,0.917,6,38,44,20,15,6,9,34,-3.0
22019,1610612759,SAS,San Antonio Spurs,0021900931,2020-03-06,SAS @ BKN,L,239,120,43,92,0.467,10,34,0.294,24,27,0.889,2,36,38,25,3,5,6,20,-19.0
22019,1610612759,SAS,San Antonio Spurs,0021900909,2020-03-03,SAS @ CHA,W,240,104,38,80,0.475,11,32,0.344,17,20,0.85,6,27,33,25,12,5,10,16,1.0
22019,1610612759,SAS,San Antonio Spurs,0021900908,2020-03-02,SAS vs. IND,L,240,111,40,77,0.519,16,32,0.5,15,19,0.789,3,30,33,21,6,5,14,19,-5.0
22019,1610612759,SAS,San Antonio Spurs,0021900893,2020-02-29,SAS vs. ORL,W,240,114,44,84,0.524,14,31,0.452,12,16,0.75,4,27,31,28,11,5,17,20,1.0
22019,1610612759,SAS,San Antonio Spurs,0021900869,2020-02-26,SAS vs. DAL,L,239,103,39,92,0.424,11,33,0.333,14,19,0.737,13,42,55,22,8,7,15,21,-6.0
22019,1610612759,SAS,San Antonio Spurs,0021900846,2020-02-23,SAS @ OKC,L,239,103,38,103,0.369,11,38,0.289,16,19,0.842,14,29,43,27,5,1,9,23,-28.0
22019,1610612759,SAS,San Antonio Spurs,0021900832,2020-02-21,SAS @ UTA,W,239,113,40,91,0.44,10,20,0.5,23,26,0.885,7,41,48,22,12,7,6,20,9.0
22019,1610612759,SAS,San Antonio Spurs,0021900805,2020-02-11,SAS @ OKC,W,241,114,41,84,0.488,7,25,0.28,25,27,0.926,7,39,46,20,9,7,11,19,8.0
22019,1610612759,SAS,San Antonio Spurs,0021900799,2020-02-10,SAS @ DEN,L,243,120,41,85,0.482,16,32,0.5,22,25,0.88,9,27,36,33,7,1,10,17,-7.0
22019,1610612759,SAS,San Antonio Spurs,0021900785,2020-02-08,SAS @ SAC,L,242,102,41,81,0.506,7,24,0.292,13,18,0.722,8,33,41,23,7,4,14,22,-20.0
22019,1610612759,SAS,San Antonio Spurs,0021900767,2020-02-06,SAS @ POR,L,240,117,41,92,0.446,10,28,0.357,25,28,0.893,8,31,39,25,9,3,4,10,-8.0
22019,1610612759,SAS,San Antonio Spurs,0021900754,2020-02-04,SAS @ LAL,L,239,102,40,91,0.44,13,27,0.481,9,15,0.6,7,21,28,21,6,2,6,16,-27.0
22019,1610612759,SAS,San Antonio Spurs,0021900750,2020-02-03,SAS @ LAC,L,240,105,40,95,0.421,12,37,0.324,13,16,0.813,6,40,46,21,5,9,6,20,-3.0
22019,1610612759,SAS,San Antonio Spurs,0021900734,2020-02-01,SAS vs. CHA,W,240,114,45,87,0.517,10,28,0.357,14,21,0.667,7,37,44,27,13,2,10,14,24.0
22019,1610612759,SAS,San Antonio Spurs,0021900711,2020-01-29,SAS vs. UTA,W,239,127,46,82,0.561,8,31,0.258,27,30,0.9,4,31,35,23,5,2,9,27,7.0
22019,1610612759,SAS,San Antonio Spurs,0021900695,2020-01-27,SAS @ CHI,L,240,109,38,82,0.463,10,25,0.4,23,34,0.676,12,35,47,21,2,6,11,12,-1.0
22019,1610612759,SAS,San Antonio Spurs,0021900686,2020-01-26,SAS vs. TOR,L,240,106,34,82,0.415,16,37,0.432,22,24,0.917,7,41,48,27,5,8,16,15,-4.0
22019,1610612759,SAS,San Antonio Spurs,0021900678,2020-01-24,SAS vs. PHX,L,239,99,33,78,0.423,5,25,0.2,28,33,0.848,10,33,43,19,9,8,14,22,-4.0
22019,1610612759,SAS,San Antonio Spurs,0021900663,2020-01-22,SAS @ NOP,W,238,121,45,89,0.506,11,27,0.407,20,25,0.8,9,35,44,17,7,4,11,23,4.0
22019,1610612759,SAS,San Antonio Spurs,0021900650,2020-01-20,SAS @ PHX,W,241,120,43,87,0.494,17,31,0.548,17,22,0.773,6,25,31,30,12,7,8,23,2.0
22019,1610612759,SAS,San Antonio Spurs,0021900637,2020-01-19,SAS vs. MIA,W,241,107,36,85,0.424,12,33,0.364,23,24,0.958,9,34,43,27,5,4,11,18,5.0
22019,1610612759,SAS,San Antonio Spurs,0021900624,2020-01-17,SAS vs. ATL,L,241,120,45,98,0.459,8,29,0.276,22,23,0.957,14,34,48,28,12,6,15,27,-1.0
22019,1610612759,SAS,San Antonio Spurs,0021900606,2020-01-15,SAS @ MIA,L,241,100,39,89,0.438,10,33,0.303,12,15,0.8,6,35,41,22,8,4,8,17,-6.0
22019,1610612759,SAS,San Antonio Spurs,0021900587,2020-01-12,SAS @ TOR,W,242,105,38,87,0.437,7,32,0.219,22,30,0.733,9,42,51,24,6,5,11,11,1.0
22019,1610612759,SAS,San Antonio Spurs,0021900571,2020-01-10,SAS @ MEM,L,241,121,42,87,0.483,17,40,0.425,20,23,0.87,5,32,37,29,3,6,11,17,-13.0
22019,1610612759,SAS,San Antonio Spurs,0021900554,2020-01-08,SAS @ BOS,W,239,129,48,87,0.552,9,29,0.31,24,26,0.923,8,41,49,28,9,6,14,25,15.0
